列1,列2,列3,列4,Param1,Param2,Pram3
プロローグ,神父ジムゾン,霊能者,緑色のカパビラが迫ってきたと思ったらカッパみたいな旅人でした･･･なんというか「恐怖！,,,
プロローグ,神父ジムゾン,霊能者,月曜日の夕暮れ 緑旅人の真実 そのとき少女は見た」ですね。,,,
プロローグ,神父ジムゾン,霊能者,>>31 フフフ、リザちゃんは賢いねえ。,,,
プロローグ,神父ジムゾン,霊能者,ほーら、ラムネだよー。,,,
プロローグ,神父ジムゾン,霊能者,あまり遠くまで行かないようにね、最近緑色の妖怪が出るみたいだから。,,,
プロローグ,旅人ニコラス,村人,>>40ヤコブ良いヤツカパ！,,,
プロローグ,旅人ニコラス,村人,ありがとうカパパ！,,,
プロローグ,旅人ニコラス,村人,キュウリがじがじがじ。,,,
プロローグ,旅人ニコラス,村人,雨の中畑を見に行くのは「しぼうふらぐ」カパ。,,,
プロローグ,旅人ニコラス,村人,ヨアヒムで10人揃ったッパ！,,,
プロローグ,旅人ニコラス,村人,めでたいカパパ～♪,,,
プロローグ,青年ヨアヒム,村人,基本的に昼と夜です。,,,
プロローグ,青年ヨアヒム,村人,本決定19時半、仮決定19時です。,,,
プロローグ,青年ヨアヒム,村人,特にありません。,,,
プロローグ,青年ヨアヒム,村人,この地上に住む、ありとあらゆる人狼が大好きだ。,,,
プロローグ,農夫ヤコブ,村人,ヨアもよくきてくれただ。,,,
プロローグ,農夫ヤコブ,村人,これで夜明けは確実に来るだな。,,,
プロローグ,農夫ヤコブ,村人,それまでにもっと人が来てくれると嬉しいだよ。,,,
プロローグ,農夫ヤコブ,村人,これは卵とトマトを多めに取ってこなきゃなんねえな。,,,
プロローグ,農夫ヤコブ,村人,じゃ、行って来るべ。,,,
プロローグ,青年ヨアヒム,村人,F国と比べて大分勝手が違うそうですね。…,,,
プロローグ,青年ヨアヒム,村人,アンカーは＞＞45でいいのかな？,,,
プロローグ,神父ジムゾン,霊能者,そういえばメモなどあったね。,,,
プロローグ,神父ジムゾン,霊能者,わたしも答えておきますか。,,,
プロローグ,神父ジムゾン,霊能者,昼杉～更新直後あたりになるでしょう。,,,
プロローグ,神父ジムゾン,霊能者,またところによっては深夜も要注意です。,,,
プロローグ,神父ジムゾン,霊能者,仮決定・本決定・更新が近すぎなければ良し,,,
プロローグ,神父ジムゾン,霊能者,特別反対するようなものもないのですよ,,,
プロローグ,神父ジムゾン,霊能者,なんとなく頭がよさそう、そんな理由で神父を目指し、神父になりました。,,,
プロローグ,神父ジムゾン,霊能者,結婚願望はあります。,,,
プロローグ,神父ジムゾン,霊能者,でも今の目標は宝くじで5等当てることかな。,,,
プロローグ,青年ヨアヒム,村人,>>45,,,
プロローグ,神父ジムゾン,霊能者,>>45 ヨア費無くん、アンカーは半角英数字でのみ対応のようですよ。,,,
プロローグ,神父ジムゾン,霊能者,「＞＞４５」でも「>>４５」でも「＞＞45」でもダメみたいです。,,,
プロローグ,神父ジムゾン,霊能者,「>>45」これが正解。,,,
プロローグ,青年ヨアヒム,村人,ああ…,,,
プロローグ,青年ヨアヒム,村人,できた,,,
プロローグ,青年ヨアヒム,村人,>>48ありがとうございます。,,,
プロローグ,青年ヨアヒム,村人,できました！,,,
プロローグ,神父ジムゾン,霊能者,すばらしい、これでキミも一人前のじー国人というわけですね。,,,
プロローグ,神父ジムゾン,霊能者,ちなみに人狼とは昨日ばるたんが皆に呼びかけてた怪物ですよね。,,,
プロローグ,神父ジムゾン,霊能者,そんなものが本当にいるんでしょうか？,,,
プロローグ,神父ジムゾン,霊能者,正直、半信半疑ですね。,,,
プロローグ,神父ジムゾン,霊能者,むしろばるたんがまたみんなを驚かしたいだけなんじゃないかと思いマスよ。,,,
プロローグ,旅人ニコラス,村人,…,,,
プロローグ,旅人ニコラス,村人,喜んでるヨアヒムが可愛らしいカパ。,,,
プロローグ,旅人ニコラス,村人,>>41ジム緑色の妖怪カパ！？,,,
プロローグ,旅人ニコラス,村人,それは怖いカパ～。,,,
プロローグ,旅人ニコラス,村人,ジムゾンは神父として村人であるポクたちみんなの安全を確保する義務があるカパパ！,,,
プロローグ,司書クララ,狂人,おろ？,,,
プロローグ,青年ヨアヒム,村人,クララさん、こんばんは。,,,
プロローグ,青年ヨアヒム,村人,これで揃いましたね。,,,
プロローグ,神父ジムゾン,霊能者,>>52 ニコんむ、可愛い男の子は正義ですね。,,,
プロローグ,神父ジムゾン,霊能者,緑の妖怪はどうやらきゅうりを口につっこんでおけば大人しくなるようなので安心してください。,,,
プロローグ,神父ジムゾン,霊能者,この神父にぬかりはありません、フフフ。,,,
プロローグ,神父ジムゾン,霊能者,さて、メガネのキュートなレディが到着したところで、私は一度教会に戻りましょう（そろそろパメラさんを物置から出してあげる時間ですし）では、またのちほど**＠４,,,
プロローグ,旅人ニコラス,村人,クララいらっしゃいカパ～。,,,
プロローグ,旅人ニコラス,村人,人が増えるのはうれしいッパ！,,,
プロローグ,旅人ニコラス,村人,ヨアヒム、じー国は10人から村成立らしいカパ！,,,
プロローグ,旅人ニコラス,村人,へんせーも細かく違うから注意が必要ッパ。,,,
プロローグ,旅人ニコラス,村人,>>55 ジムきゅうり好き妖怪カパ？,,,
プロローグ,旅人ニコラス,村人,むむう、この村のきゅうりを狙うやつがポク以外にもいたとは…,,,
プロローグ,青年ヨアヒム,村人,>>57なんと…,,,
プロローグ,青年ヨアヒム,村人,10人でできるとは…,,,
プロローグ,旅人ニコラス,村人,>>32と>>33でリーザが詳細を出してくれているカパ～。,,,
プロローグ,旅人ニコラス,村人,色々と違うカパパ。,,,
プロローグ,旅人ニコラス,村人,きゅうりもしゃもしゃもしゃもしゃ。,,,
プロローグ,旅人ニコラス,村人,昆布傘は、ポク要らないかな。,,,
プロローグ,旅人ニコラス,村人,お皿にじかに雨が降るのが気持ちいいカパ。,,,
プロローグ,村娘パメラ,村人,今日から開始！,,,
プロローグ,村娘パメラ,村人,>>59 ニコはカッパさんなんですか…！,,,
プロローグ,村娘パメラ,村人,>>58 10人だと新鮮ですよねっ！,,,
プロローグ,村娘パメラ,村人,狂人は10人・13人のときだけいないのかな…,,,
プロローグ,村娘パメラ,村人,>>56 ジムさん…,,,
プロローグ,村娘パメラ,村人,私、物置に閉じこめられてたんですねっ！,,,
プロローグ,村娘パメラ,村人,こわかったです…,,,
プロローグ,木こりトーマス,占い師,ハイポー,,,
プロローグ,木こりトーマス,占い師,僕、機関車トーマス。,,,
プロローグ,木こりトーマス,占い師,ヨロシクさて、また深夜に来るよ,,,
プロローグ,木こりトーマス,占い師,昆布、売ってるのか？,,,
プロローグ,木こりトーマス,占い師,せっかくだから、一つ貰おうか。,,,
プロローグ,木こりトーマス,占い師,ジムゾンのように、ヅラにはなりたくないからな,,,
プロローグ,旅人ニコラス,村人,機関車トーマスようこそカパ～！,,,
プロローグ,旅人ニコラス,村人,>>60 パメなんという直球な問いカパ…！！,,,
プロローグ,旅人ニコラス,村人,も、もしポクが河童だとしたら、どうするカパパ？,,,
プロローグ,少年ペーター,人狼,こんぶんは。,,,
プロローグ,少年ペーター,人狼,雨でびっしょびしょだよー。,,,
プロローグ,少年ペーター,人狼,風邪ひかないようにお風呂に入って来るね！,,,
プロローグ,羊飼いカタリナ,人狼,17:00～,,,
プロローグ,羊飼いカタリナ,人狼,仮19:00 本19:30 まとめ役が生まれるか解りませんが,,,
プロローグ,羊飼いカタリナ,人狼,特にありません。,,,
プロローグ,少年ペーター,人狼,あ、そうそう、僕はいつもいたりいなかったりだよ。,,,
プロローグ,少年ペーター,人狼,フテーキって言うのかな。,,,
プロローグ,少年ペーター,人狼,でも夜明け前後はいられると思うから大丈夫だよ！,,,
プロローグ,少年ペーター,人狼,それから、仮決定と本決定は余裕があった方がいいと思うな。,,,
プロローグ,少年ペーター,人狼,18時と19時みたいな感じで。,,,
プロローグ,少年ペーター,人狼,それからそれから…,,,
プロローグ,少年ペーター,人狼,えーっと、なんだっけ？,,,
プロローグ,少年ペーター,人狼,まぁいいや、お風呂入ってくるー。,,,
プロローグ,少女リーザ,村人,ただいまー。,,,
プロローグ,少女リーザ,村人,お出かけしてる間に、13人になってるの。,,,
プロローグ,少女リーザ,村人,あと1人でフルメンバーだね。,,,
プロローグ,少女リーザ,村人,みんなよろしくね！,,,
プロローグ,少女リーザ,村人,>>41神父さま わーい、ラムネありがとう！,,,
プロローグ,少女リーザ,村人,>>43ヨア兄ちゃん よろしい、ならば人狼なの。,,,
プロローグ,村娘パメラ,村人,>>65 ニコ、κならキュウリあげるから味方してね。,,,
プロローグ,村娘パメラ,村人,>>70 かわいいかわいいリーザちゃんにも昆布あげる。,,,
プロローグ,旅人ニコラス,村人,ペーターこんぶんはカパー！,,,
プロローグ,旅人ニコラス,村人,良い挨拶カパパ♪ >>70リーザよろしくカパパ～。,,,
プロローグ,旅人ニコラス,村人,>>71 パメギリシア文字とは…,,,
プロローグ,旅人ニコラス,村人,なかなかやるカパ…！,,,
プロローグ,旅人ニコラス,村人,あ、キュウリはありがたく貰うカパ。,,,
プロローグ,旅人ニコラス,村人,ポクを味方につけて何する気カパ？,,,
プロローグ,旅人ニコラス,村人,神父にしかえしカパパ？,,,
プロローグ,羊飼いカタリナ,人狼,あと一人でフルですね。,,,
プロローグ,羊飼いカタリナ,人狼,私もアンカのテスト>>1,,,
プロローグ,少女リーザ,村人,>>71 パメ姉ちゃん、ありがとう！,,,
プロローグ,少女リーザ,村人,海草大好きよ。,,,
プロローグ,少女リーザ,村人,髪が綺麗になるのよー。,,,
プロローグ,少女リーザ,村人,あと1人、誰か来てくれるかな？,,,
プロローグ,少女リーザ,村人,更新まであと1時間切ったの。,,,
プロローグ,少女リーザ,村人,13人村だと、狼狼狼占霊狩村村村村村村楽こうなるのね。,Information,,
プロローグ,少女リーザ,村人,狂人さんがいないスタイル。,,,
プロローグ,少女リーザ,村人,なんだか、慣れない編成で新鮮ね。,,,
プロローグ,少女リーザ,村人,13人でも14人でも楽しそうなの。,,,
プロローグ,旅人ニコラス,村人,夜明けは近いカパー！,,,
プロローグ,旅人ニコラス,村人,夜が明ける前にご飯食べてくるカパパ。,,,
プロローグ,旅人ニコラス,村人,おなかすいてるひとにもお裾分けカパ～。,,,
プロローグ,旅人ニコラス,村人,つ【カッパ巻き】>>75 リーザ13人14人どっちも新鮮で楽しそうカパ～。,,,
プロローグ,旅人ニコラス,村人,わくわくするカパパ♪,,,
プロローグ,少年ペーター,人狼,お風呂ほくほくー。,,,
プロローグ,少年ペーター,人狼,ニコちゃんのカッパ巻きもらうね（もぐもぐ>>76 たしかにどっちの編成でも楽しそうだね。,,,
プロローグ,少年ペーター,人狼,狂人がいなくなったらどうなるんだろう…。,,,
プロローグ,少年ペーター,人狼,僕もみんながおちついて夜明けを待てるようにお茶を出しておくね。,,,
プロローグ,少年ペーター,人狼,つ[昆布茶],,,
プロローグ,村長ヴァルター,村人,ピヨ？,,,
プロローグ,村長ヴァルター,村人,これでフルメンバーピヨね。,,,
プロローグ,少年ペーター,人狼,わーい、村長さんいらっしゃい。,,,
プロローグ,少年ペーター,人狼,これで 狼狼狼狂占霊狩村村村村村村楽 になったのかな？,,,
プロローグ,羊飼いカタリナ,人狼,フルメンバーだー,,,
プロローグ,少女リーザ,村人,ペタ君、昆布茶ありがとうね。,,,
プロローグ,少女リーザ,村人,いただくの。,,,
プロローグ,少女リーザ,村人,村長さんこんばんはー。,,,
プロローグ,少女リーザ,村人,わぁ、後は始まるのを待つだけ、なの…！,,,
プロローグ,村長ヴァルター,村人,不定期ピヨよ～,,,
プロローグ,村長ヴァルター,村人,仮18:30、本19:30位が妥当じゃないピヨ？,,,
プロローグ,村長ヴァルター,村人,ピヨヨ～。,,,
プロローグ,村長ヴァルター,村人,そんちょはそんちょピヨ。,,,
プロローグ,村長ヴァルター,村人,よろしくピヨ。,,,
プロローグ,村長ヴァルター,村人,＞ALLよろしくピヨ～。,,,
プロローグ,村長ヴァルター,村人,ただ、クラピヨが1発言のみなのが不安だピヨよ…。,,,
プロローグ,パン屋オットー,人狼,フルメンバーですね,,,
プロローグ,羊飼いカタリナ,人狼,あーそうか。,,,
プロローグ,羊飼いカタリナ,人狼,クララが弾かれてしまう。,,,
プロローグ,村長ヴァルター,村人,＞リザピヨ>>27日をまたいだ発言はアンカで見れないピヨよー。,,,
プロローグ,村長ヴァルター,村人,その日の最初が表示されますピヨ,,,
プロローグ,農夫ヤコブ,村人,戻っただーすべりこみでフルメンバーになっただな、嬉しいだよ。,,,
プロローグ,少年ペーター,人狼,あっ、本当だ！,,,
プロローグ,少年ペーター,人狼,クラねぇ！,,,
プロローグ,少年ペーター,人狼,もしかしたらキックされるかもしれないって噂があるから早く戻ってきてー！,,,
プロローグ,少年ペーター,人狼,もう時間がないよー！,,,
プロローグ,農夫ヤコブ,村人,>>87 プロが延長されて更新時間をまたがなかったんで大丈夫と思うだ、多分。,,,
プロローグ,少女リーザ,村人,あっ、そか。,,,
プロローグ,少女リーザ,村人,クラ姉ちゃん、見てるー？,,,
プロローグ,少女リーザ,村人,エントリー発言以外に何か言わないと、はじかれちゃうよー。,,,
プロローグ,少女リーザ,村人,そんちょ>>88 わ、そうなんだ。,,,
プロローグ,少女リーザ,村人,教えてくれてありがとう！,,,
プロローグ,村長ヴァルター,村人,>>76キュウリだけいただくピヨ(バリバリ)[…,,,
プロローグ,村長ヴァルター,村人,はかっぱ巻きからキュウリだけ取り出して食べている],,,
プロローグ,農夫ヤコブ,村人,変な文章になっただよ。,,,
プロローグ,農夫ヤコブ,村人,プロが延長されずに更新時間をまたがなかったので、が正しいだな。,,,
プロローグ,少年ペーター,人狼,>>91 やこにぃ本当？,,,
プロローグ,少年ペーター,人狼,そうならいいんだけど…,,,
プロローグ,少年ペーター,人狼,心配だな。,,,
プロローグ,少女リーザ,村人,ヤコ兄ちゃん>>91 あくまで「キックされるという噂」かぁ。,,,
プロローグ,少女リーザ,村人,どうなんだろー、どきどき。,,,
プロローグ,少女リーザ,村人,でも一応、クラ姉ちゃんの発言欲しい…,,,
プロローグ,少女リーザ,村人,かも…。,,,
プロローグ,神父ジムゾン,霊能者,ただいまであります。,,,
プロローグ,神父ジムゾン,霊能者,む？,,,
プロローグ,神父ジムゾン,霊能者,ばるたん来てフルですね、いらっしゃい。,,,
プロローグ,神父ジムゾン,霊能者,クララくんのことはだ、大丈夫と信じましょう,,,
1日目,楽天家ゲルト,村人,ふぁーあ……,,,
1日目,楽天家ゲルト,村人,ねむいな……,,,
1日目,楽天家ゲルト,村人,寝てていい？,,,
1日目,パン屋オットー,人狼,ヴォルターさんこんにちは,,,
1日目,パン屋オットー,人狼,あれ？,,,
1日目,パン屋オットー,人狼,発言したら次の日になってしまった。,,,
1日目,神父ジムゾン,霊能者,クララくんも大丈夫でしたね、誤情報申し訳ありません。,,,
1日目,神父ジムゾン,霊能者,いや、よかったよかった。,,,
1日目,農夫ヤコブ,村人,クララはキックされてねえよ。,,,
1日目,農夫ヤコブ,村人,良かったべ。,,,
1日目,農夫ヤコブ,村人,ただ突然死はしねえでもらいたいな。,,,
1日目,村長ヴァルター,村人,あ、ヤコぴよのいう通りだったピヨ。,,,
